memory,gold_id,gold_name,answerable,novel,abstained,pred_id,answer,novelty_flag,confidence,grounding_score
none,OMIM:535000,Leber optic atrophy,True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:618394,Immunodeficiency 60,True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:100083,Laryngeal neuroendocrine tumor,True,False,False,,Carney complex,False,0.5,
none,OMIM:606519,PHACE association,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:618010,Glycosylphosphatidylinositol biosynthesis defect 17,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:240900,Hypoinsulinemic hypoglycemia with hemihypertrophy,True,False,False,,Alström syndrome,False,0.5,
none,OMIM:615911,Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:510,Lesch-Nyhan syndrome,True,False,False,,Alport syndrome,False,0.5,
none,OMIM:236270,"Homocystinuria-megaloblastic anemia, cbl E type",True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:3266,Isolated humero-radio-ulnar synostosis,True,False,False,,Roberts syndrome,False,0.5,
none,ORPHA:11,Pentasomy X syndrome,True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:79292,Fish-eye disease,True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:70578,Adult acute respiratory distress syndrome,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:246000,"Leg, absence deformity of, with congenital cataract",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:614077,Hermansky-Pudlak syndrome 8,True,False,False,,Oculocutaneous albinism,False,0.5,
none,ORPHA:100082,Neuroendocrine tumor of anal canal,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:620461,"Encephalopathy, acute, infection-induced, susceptibility to, 12",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:620012,"Developmental delay, hypotonia, and impaired language",True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:1875,Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,True,False,False,,Ehlers-Danlos syndrome,False,0.5,
none,OMIM:233600,Immunodeficiency 59 and hypoglycemia,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:618302,"Intellectual developmental disorder, autosomal recessive 68",True,False,False,,Cerebro-oculo-facio-skeletal syndrome (COFS),False,0.5,
none,OMIM:308700,Hypogonadotropic hypogonadism 1 with or without anosmia,True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:2774,Multicentric carpo-tarsal osteolysis with or without nephropathy,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:277100,VALINEMIA,True,False,False,,Maple syrup urine disease,False,0.5,
none,ORPHA:309288,"Alpha-mannosidosis, adult form",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:231550,Achalasia-Addisonianism-Alacrima syndrome,True,False,False,,Ataxia telangiectasia,False,0.5,
none,OMIM:620197,"Ciliary dyskinesia, primary, 49, without situs inversus",True,False,False,,Primary ciliary dyskinesia,False,0.5,
none,OMIM:601650,Paragangliomas 2,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:192500,Long QT syndrome 1,True,False,False,,Ankylosing spondylitis,False,0.5,
none,ORPHA:401768,Proximal myopathy with extrapyramidal signs,True,False,False,,Leigh syndrome,False,0.5,
none,ORPHA:2004,Laryngotracheoesophageal cleft,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:616540,"Epilepsy, progressive myoclonic, 9",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:616740,Immunodeficiency 46,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:614935,"Ciliary dyskinesia, primary, 19",True,False,False,,Primary ciliary dyskinesia,False,0.5,
none,OMIM:612933,Glycogen storage disease XI,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:619955,Dworschak-Punetha neurodevelopmental syndrome,True,False,False,,Joubert syndrome,False,0.5,
none,ORPHA:2073,Narcolepsy type 1,True,False,False,,MELAS syndrome,False,0.5,
none,OMIM:226650,"Epidermolysis bullosa, junctional, Non-Herlitz type",True,False,False,,Papillon-Lefèvre syndrome,False,0.5,
none,OMIM:615960,Poretti-Boltshauser syndrome,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:254300,"Myasthenia, limb-girdle, familial",True,False,True,,ABSTAIN,False,0.5,
none,ORPHA:75373,Progressive bifocal chorioretinal atrophy,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:240200,"Hypoadrenocorticism, familial",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:256840,"Neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:619216,"Neuropathy, hereditary motor, with myopathic features",True,False,False,,Spinal muscular atrophy with hydrocephalus (SMN1-related),False,0.5,
none,ORPHA:314795,SHOX-related short stature,True,False,False,,Turner syndrome,False,0.5,
none,OMIM:601438,"Rhizomelic dysplasia, Patterson-Lowry type",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:112250,Diaphyseal medullary stenosis with malignant fibrous histiocytoma,True,False,True,,ABSTAIN,False,0.5,
none,OMIM:604403,"Generalized epilepsy with febrile seizures plus, type 2",True,False,True,,ABSTAIN,False,0.5,
none,OMIM:616549,"Klippel-Feil syndrome 4, autosomal recessive, with myopathy and facial dysmorphism",True,False,False,,Stickler syndrome,False,0.5,
none,ORPHA:1307,Distal limb deficiencies-micrognathia syndrome,True,False,False,,Hereditary hemorrhagic telangiectasia (Osler-Weber-Rendu disease),False,0.5,
none,OMIM:617565,Perrault syndrome 6,True,False,False,,Turner syndrome,False,0.5,
